,topic
0,"0.070*""인권"" + 0.044*""범죄자"" + 0.037*""법"" + 0.023*""범"" + 0.018*""국민"" + 0.018*""현장"" + 0.018*""범죄"" + 0.018*""사형"" + 0.017*""경찰"" + 0.017*""사살"""
1,"0.035*""처벌"" + 0.032*""학생"" + 0.031*""사회"" + 0.022*""경찰"" + 0.018*""교사"" + 0.016*""반성"" + 0.014*""부모"" + 0.012*""일"" + 0.012*""아이"" + 0.011*""범죄"""
2,"0.032*""세상"" + 0.031*""부활"" + 0.028*""인권"" + 0.025*""사형제"" + 0.024*""장난"" + 0.023*""처"" + 0.020*""사람"" + 0.017*""엄벌"" + 0.014*""범죄자"" + 0.014*""삼청교육대"""
3,"0.042*""장난"" + 0.036*""사람"" + 0.027*""글"" + 0.021*""사형"" + 0.019*""공개"" + 0.018*""처벌"" + 0.018*""저런"" + 0.018*""제발"" + 0.013*""인간"" + 0.012*""얼굴"""
4,"0.071*""사형"" + 0.030*""경찰"" + 0.029*""집행"" + 0.021*""칼"" + 0.015*""사람"" + 0.014*""미국"" + 0.013*""그냥"" + 0.012*""무슨"" + 0.011*""총"" + 0.011*""신고"""
5,"0.029*""경찰"" + 0.022*""판사"" + 0.022*""각자"" + 0.022*""범죄"" + 0.020*""도생"" + 0.013*""바로"" + 0.012*""국민"" + 0.011*""공권력"" + 0.010*""정부"" + 0.010*""문제"""
6,"0.158*""나라"" + 0.027*""정부"" + 0.026*""개판"" + 0.022*""꼴"" + 0.022*""정당방위"" + 0.020*""대한민국"" + 0.017*""민주당"" + 0.016*""현실"" + 0.015*""윤석열"" + 0.013*""하나"""
7,"0.049*""살인"" + 0.024*""좌파"" + 0.024*""가해자"" + 0.023*""판결"" + 0.021*""예고"" + 0.020*""장난"" + 0.015*""판사"" + 0.015*""테러"" + 0.015*""교육"" + 0.011*""피해자"""
8,"0.084*""경찰"" + 0.028*""진짜"" + 0.014*""범인"" + 0.013*""남자"" + 0.012*""문재인"" + 0.011*""사복"" + 0.011*""칼"" + 0.011*""사람"" + 0.009*""사법부"" + 0.008*""조폭"""
9,"0.027*""학교"" + 0.026*""문제"" + 0.017*""경찰"" + 0.017*""판새"" + 0.015*""미성년"" + 0.013*""낭비"" + 0.013*""청구"" + 0.012*""패"" + 0.012*""살인마"" + 0.011*""검문"""
10,"0.031*""정신"" + 0.027*""사람"" + 0.014*""정말"" + 0.013*""곳"" + 0.013*""세상"" + 0.012*""미약"" + 0.012*""칼부림"" + 0.012*""심신"" + 0.010*""선생님"" + 0.010*""갑자기"""
11,"0.032*""그냥"" + 0.028*""칼부림"" + 0.027*""요즘"" + 0.020*""법"" + 0.017*""유행"" + 0.014*""세상"" + 0.014*""이건"" + 0.014*""칼"" + 0.014*""진짜"" + 0.013*""함"""
