,keyword,degree
0,인권,0.4609375
1,경찰,0.3046875
2,범죄자,0.28125
3,사형,0.21875
4,사람,0.21875
5,범,0.1640625
6,살인,0.1640625
7,칼,0.1328125
8,국민,0.1328125
9,상황,0.1328125
10,진압,0.1171875
11,총,0.109375
12,범죄,0.109375
13,자극,0.1015625
14,과잉,0.09375
15,바로,0.09375
16,피해자,0.0859375
17,나라,0.0859375
18,테이저건,0.0859375
19,반말,0.0859375
20,범인,0.0703125
21,존댓말,0.0703125
22,집행,0.0625
23,제압,0.0625
24,저런,0.0625
25,흉악,0.0546875
26,해,0.0546875
27,인간,0.0546875
28,대응,0.0546875
29,보호,0.046875
30,공개,0.046875
31,미국,0.046875
32,얼굴,0.046875
33,문제,0.046875
34,말,0.046875
35,검사,0.046875
36,흉기,0.046875
37,논란,0.046875
38,무슨,0.046875
39,그냥,0.0390625
40,마스크,0.0390625
41,세금,0.0390625
42,우리나라,0.0390625
43,사형제,0.03125
44,진짜,0.03125
45,사회,0.03125
46,세상,0.03125
47,때문,0.0234375
48,존중,0.0234375
49,데,0.0234375
50,모자이크,0.0234375
51,처리,0.0234375
52,도대체,0.0234375
53,생각,0.0234375
54,제발,0.0234375
55,다른,0.0234375
56,지금,0.0234375
57,현행범,0.0234375
58,이유,0.0234375
59,계획,0.0234375
60,부활,0.015625
61,가해자,0.015625
62,좌파,0.015625
63,사살,0.015625
64,대한민국,0.015625
65,강압,0.015625
66,피의자,0.015625
67,시민,0.015625
68,일,0.015625
69,법,0.015625
70,청년,0.015625
71,정도,0.015625
72,생명,0.015625
73,기사,0.015625
74,위,0.015625
75,실탄,0.015625
76,누가,0.015625
77,판단,0.015625
78,다시,0.015625
79,오히려,0.015625
80,짐승,0.015625
81,답,0.0078125
82,신상,0.0078125
83,현장,0.0078125
84,싸이코패스,0.0078125
85,존대,0.0078125
86,타령,0.0078125
87,앞,0.0078125
88,살인자,0.0078125
89,가족,0.0078125
90,거부,0.0078125
91,처,0.0078125
92,사형수,0.0078125
93,혈세,0.0078125
94,죽,0.0078125
95,이재명,0.0078125
96,조카,0.0078125
97,정부,0.0078125
98,민주당,0.0078125
99,소용,0.0078125
100,팔이,0.0078125
101,상태,0.0078125
102,유지,0.0078125
103,년,0.0078125
104,살인마,0.0078125
105,일단,0.0078125
106,짓,0.0078125
107,판사,0.0078125
108,우리,0.0078125
109,필요,0.0078125
110,진압봉,0.0078125
111,순간,0.0078125
112,위원회,0.0078125
113,멸,0.0078125
114,증거,0.0078125
115,전문가,0.0078125
116,욕,0.0078125
117,과잉진압,0.0078125
118,대처,0.0078125
119,처벌,0.0078125
120,공권력,0.0078125
121,초기,0.0078125
122,폰,0.0078125
123,선고,0.0078125
124,악마,0.0078125
125,교도소,0.0078125
126,라면,0.0078125
127,강력,0.0078125
128,피,0.0078125
