,topic
0,"0.011*""자극"" + 0.011*""존댓말"" + 0.011*""사건"" + 0.010*""범"" + 0.010*""사람"" + 0.010*""범인"" + 0.010*""경찰"" + 0.009*""공개"" + 0.009*""과잉"" + 0.009*""그때"""
1,"0.022*""사형"" + 0.015*""경찰"" + 0.011*""범"" + 0.010*""흉기"" + 0.010*""그냥"" + 0.010*""선동"" + 0.009*""살인"" + 0.008*""자극"" + 0.008*""바로"" + 0.008*""이름"""
2,"0.024*""인권"" + 0.013*""사형"" + 0.009*""일"" + 0.009*""진압"" + 0.009*""단체"" + 0.009*""자극"" + 0.009*""경찰"" + 0.009*""가지"" + 0.009*""상황"" + 0.008*""충"""
3,"0.026*""인권"" + 0.014*""사형"" + 0.011*""범죄자"" + 0.011*""진압"" + 0.011*""국민"" + 0.010*""과잉"" + 0.010*""경찰"" + 0.008*""칼"" + 0.008*""병원"" + 0.008*""사람"""
4,"0.027*""경찰"" + 0.012*""국민"" + 0.012*""인권"" + 0.012*""말"" + 0.011*""인간"" + 0.011*""사람"" + 0.010*""나라"" + 0.010*""칼"" + 0.007*""법"" + 0.007*""본인"""
5,"0.037*""사형"" + 0.031*""인권"" + 0.015*""범죄자"" + 0.015*""얼굴"" + 0.012*""범"" + 0.010*""사회"" + 0.010*""반말"" + 0.010*""경찰"" + 0.009*""범죄"" + 0.008*""살인마"""
6,"0.016*""칼"" + 0.015*""나라"" + 0.014*""바로"" + 0.014*""마스크"" + 0.013*""경찰"" + 0.013*""테이저건"" + 0.013*""세상"" + 0.012*""해"" + 0.010*""상황"" + 0.010*""인권"""
7,"0.041*""사람"" + 0.030*""사형"" + 0.016*""경찰"" + 0.012*""피해자"" + 0.012*""집행"" + 0.012*""살인"" + 0.011*""칼"" + 0.008*""생각"" + 0.007*""증거"" + 0.006*""그냥"""
8,"0.019*""사형"" + 0.019*""눈"" + 0.014*""범죄자"" + 0.014*""밥"" + 0.011*""저런"" + 0.008*""그냥"" + 0.008*""답"" + 0.008*""전"" + 0.006*""범"" + 0.006*""정도"""
9,"0.024*""인권"" + 0.019*""범죄자"" + 0.015*""경찰"" + 0.012*""우리나라"" + 0.009*""생각"" + 0.008*""공개"" + 0.008*""상공"" + 0.008*""사형"" + 0.008*""범죄"" + 0.007*""좌파"""
10,"0.025*""사람"" + 0.016*""인권"" + 0.013*""테이저건"" + 0.010*""사형"" + 0.010*""총"" + 0.009*""국민"" + 0.008*""계획"" + 0.008*""세금"" + 0.007*""사형제"" + 0.007*""반말"""
11,"0.032*""인권"" + 0.023*""범죄자"" + 0.018*""진짜"" + 0.011*""나라"" + 0.009*""마스크"" + 0.008*""인천"" + 0.008*""경찰"" + 0.007*""좌파"" + 0.006*""사회"" + 0.006*""타령"""
