,topic
0,"0.043*""사형"" + 0.022*""집행"" + 0.016*""인권"" + 0.013*""답"" + 0.013*""영화"" + 0.012*""경찰"" + 0.011*""생각"" + 0.010*""상대방"" + 0.009*""사람"" + 0.009*""가석방"""
1,"0.033*""인권"" + 0.022*""증거"" + 0.018*""범죄자"" + 0.013*""원주"" + 0.013*""피해자"" + 0.013*""사람"" + 0.012*""반대"" + 0.011*""국민"" + 0.011*""처벌"" + 0.010*""지명"""
2,"0.043*""흉기"" + 0.037*""법"" + 0.018*""처벌"" + 0.017*""테이저건"" + 0.017*""난동"" + 0.016*""현장"" + 0.015*""경찰"" + 0.013*""벌금"" + 0.011*""인간"" + 0.010*""이하"""
3,"0.022*""해"" + 0.018*""낭비"" + 0.016*""경찰"" + 0.012*""청구"" + 0.012*""칼"" + 0.010*""산"" + 0.010*""나라"" + 0.010*""출동"" + 0.010*""국민"" + 0.010*""국가"""
4,"0.033*""총"" + 0.016*""경찰"" + 0.015*""구속"" + 0.015*""칼"" + 0.012*""엄벌"" + 0.012*""조사"" + 0.012*""민주당"" + 0.012*""대해"" + 0.012*""사살"" + 0.011*""함"""
5,"0.024*""한동훈"" + 0.014*""칼부림"" + 0.013*""족"" + 0.012*""장난"" + 0.012*""예산"" + 0.011*""정신"" + 0.011*""뉴스"" + 0.011*""범죄"" + 0.011*""점"" + 0.009*""흉기"""
6,"0.025*""영화"" + 0.021*""한동훈"" + 0.016*""장관"" + 0.014*""사람"" + 0.012*""살인"" + 0.011*""원주시"" + 0.009*""제목"" + 0.008*""역시"" + 0.008*""곳"" + 0.008*""그냥"""
7,"0.034*""치악산"" + 0.025*""영화"" + 0.013*""손해배상"" + 0.012*""이름"" + 0.012*""곡성"" + 0.012*""징역"" + 0.011*""사실"" + 0.010*""하자"" + 0.009*""보고"" + 0.009*""그냥"""
8,"0.021*""그냥"" + 0.017*""글"" + 0.014*""인생"" + 0.014*""가지"" + 0.012*""일"" + 0.012*""소송"" + 0.011*""도달"" + 0.009*""얼마"" + 0.009*""사람"" + 0.008*""기본"""
9,"0.026*""조선족"" + 0.021*""사회"" + 0.014*""실탄"" + 0.014*""흉악"" + 0.014*""경찰"" + 0.014*""가석방"" + 0.014*""금융"" + 0.013*""치료"" + 0.013*""사형"" + 0.013*""범죄"""
10,"0.033*""범죄"" + 0.025*""영화"" + 0.014*""이미지"" + 0.010*""진짜"" + 0.010*""도대체"" + 0.009*""제발"" + 0.009*""교도소"" + 0.009*""모방"" + 0.008*""자유"" + 0.008*""지역"""
11,"0.030*""살인"" + 0.021*""예고"" + 0.017*""바로"" + 0.013*""저런"" + 0.012*""국민"" + 0.012*""사람"" + 0.012*""대치"" + 0.010*""생각"" + 0.010*""칼부림"" + 0.008*""사건"""
