,topic
0,"0.021*""돈"" + 0.018*""장난"" + 0.015*""사람"" + 0.014*""요즘"" + 0.013*""자식"" + 0.012*""기사"" + 0.011*""가지"" + 0.011*""생각"" + 0.009*""전라도"" + 0.009*""진짜"""
1,"0.019*""사형"" + 0.013*""나라"" + 0.012*""인권"" + 0.011*""흉악"" + 0.011*""집행"" + 0.011*""사회"" + 0.010*""범"" + 0.010*""구속"" + 0.009*""말"" + 0.009*""생각"""
2,"0.030*""공개"" + 0.029*""얼굴"" + 0.029*""조선족"" + 0.017*""범죄자"" + 0.016*""머그"" + 0.016*""샷"" + 0.013*""사람"" + 0.012*""혐오"" + 0.010*""사진"" + 0.009*""범인"""
3,"0.032*""인권"" + 0.031*""사형"" + 0.021*""사람"" + 0.018*""피해자"" + 0.015*""범죄자"" + 0.012*""나라"" + 0.012*""사회"" + 0.010*""범죄"" + 0.009*""격리"" + 0.009*""저런"""
4,"0.032*""살인"" + 0.023*""처벌"" + 0.022*""범죄"" + 0.012*""판사"" + 0.012*""범"" + 0.011*""사회"" + 0.011*""교사"" + 0.010*""대한"" + 0.010*""징역"" + 0.010*""신림동"""
5,"0.033*""남자"" + 0.028*""키"" + 0.024*""여자"" + 0.023*""사람"" + 0.023*""진짜"" + 0.011*""인간"" + 0.009*""중국"" + 0.008*""사형"" + 0.008*""글"" + 0.007*""대한민국"""
6,"0.017*""정당방위"" + 0.015*""인생"" + 0.014*""거지"" + 0.014*""정치"" + 0.014*""자기"" + 0.013*""사람"" + 0.011*""범죄"" + 0.011*""칼"" + 0.011*""사형"" + 0.011*""위해"""
7,"0.053*""사형"" + 0.033*""사람"" + 0.031*""법"" + 0.024*""집행"" + 0.024*""부활"" + 0.023*""사형제"" + 0.019*""제발"" + 0.016*""국민"" + 0.016*""범"" + 0.015*""죽"""
8,"0.080*""조선"" + 0.047*""이름"" + 0.022*""조씨"" + 0.021*""조국"" + 0.016*""조선족"" + 0.015*""민"" + 0.013*""사람"" + 0.011*""한국"" + 0.010*""조"" + 0.009*""조선일보"""
9,"0.024*""범죄자"" + 0.017*""신림역"" + 0.017*""교도소"" + 0.014*""인권"" + 0.013*""저런"" + 0.012*""사람"" + 0.012*""정신"" + 0.011*""밥"" + 0.011*""처"" + 0.009*""해"""
10,"0.026*""인간"" + 0.024*""그냥"" + 0.017*""공개"" + 0.016*""사형"" + 0.015*""예고"" + 0.015*""조선"" + 0.015*""사회"" + 0.014*""신상"" + 0.012*""중국인"" + 0.011*""칼부림"""
11,"0.065*""사형"" + 0.026*""집행"" + 0.016*""사람"" + 0.013*""국민"" + 0.013*""해"" + 0.012*""살인"" + 0.011*""그냥"" + 0.011*""공개"" + 0.010*""말"" + 0.010*""우리"""
