,topic
0,"0.031*""한겨레"" + 0.029*""민노총"" + 0.021*""자유"" + 0.019*""좌파"" + 0.016*""재앙"" + 0.012*""민주주의"" + 0.012*""답"" + 0.011*""정신"" + 0.011*""윤"" + 0.010*""뉴스"""
1,"0.035*""정부"" + 0.020*""장난"" + 0.016*""공화국"" + 0.015*""던"" + 0.013*""네"" + 0.013*""일단"" + 0.011*""인권"" + 0.011*""재"" + 0.010*""사람"" + 0.010*""생각"""
2,"0.021*""윤석열"" + 0.015*""하나"" + 0.015*""독재"" + 0.015*""문재인"" + 0.014*""대통령"" + 0.013*""대한민국"" + 0.012*""방송"" + 0.012*""모조리"" + 0.010*""나라"" + 0.010*""총선"""
3,"0.024*""진짜"" + 0.022*""국민"" + 0.018*""이제"" + 0.014*""인간"" + 0.011*""나라"" + 0.011*""정권"" + 0.010*""법"" + 0.010*""인권"" + 0.010*""무슨"" + 0.009*""양심"""
4,"0.051*""해임"" + 0.033*""경찰"" + 0.023*""탄핵"" + 0.015*""검찰"" + 0.012*""정권"" + 0.012*""수사"" + 0.010*""출신"" + 0.010*""국민"" + 0.009*""주가조작"" + 0.009*""지난"""
5,"0.035*""나라"" + 0.019*""사형"" + 0.018*""대통령"" + 0.014*""법"" + 0.013*""국민"" + 0.013*""생각"" + 0.009*""범죄"" + 0.008*""자리"" + 0.008*""조작"" + 0.008*""속"""
6,"0.020*""편향"" + 0.015*""그동안"" + 0.014*""시작"" + 0.013*""보도"" + 0.011*""중립"" + 0.011*""언론"" + 0.011*""기"" + 0.011*""좌파"" + 0.010*""구속"" + 0.010*""말"""
7,"0.141*""방송"" + 0.061*""장악"" + 0.043*""언론"" + 0.041*""정권"" + 0.028*""국민"" + 0.013*""편파"" + 0.013*""지금"" + 0.013*""독재"" + 0.012*""문재인"" + 0.012*""말"""
8,"0.024*""찍"" + 0.017*""신문"" + 0.014*""공산당"" + 0.013*""지리"" + 0.013*""사장"" + 0.012*""굥"" + 0.012*""길"" + 0.011*""정치"" + 0.011*""고"" + 0.009*""개딸"""
9,"0.019*""김건희"" + 0.019*""자유"" + 0.017*""좌"" + 0.016*""짤"" + 0.012*""눈"" + 0.011*""짓"" + 0.010*""깜빵"" + 0.010*""가관"" + 0.009*""사람"" + 0.009*""끼"""
10,"0.032*""좌파"" + 0.014*""거짓"" + 0.012*""국민"" + 0.011*""처벌"" + 0.011*""생각"" + 0.010*""그냥"" + 0.010*""함"" + 0.009*""뉴스"" + 0.008*""독재정"" + 0.008*""그동안"""
11,"0.035*""뉴스"" + 0.025*""기사"" + 0.023*""보수"" + 0.019*""사람"" + 0.017*""가짜"" + 0.013*""좌파"" + 0.012*""진보"" + 0.011*""문재인"" + 0.010*""방송"" + 0.010*""대통령"""
